session_id,date,subject,subject_b,device_mode,metric,electrode,roles,run,trial_idx,a_state,b_state,b_direction,speed_intent,steer_intent,steer_direction,clean_switch,is_blink,latency_ms,mean_cmd_lin,moving_time_ratio,speed_active,mean_alpha,mean_tbr,mean_ei,blink_count
G_s1_alpha_single_2026-08-19_1787129459,2026-08-19,G,,single,alpha,,speed,1,13,rest,rest,left,0.0,0.5,1,,0,0.964282,0.0,0.0,0,169.79166,13.415128,0.113509,0.0
G_s1_alpha_single_2026-08-19_1787129459,2026-08-19,G,,single,alpha,,speed,1,14,attention,rest,left,0.608458,0.605217,1,,0,0.83241,0.121692,0.871795,1,20.394187,4.131835,0.400389,0.0
G_s1_alpha_single_2026-08-19_1787129459,2026-08-19,G,,single,alpha,,speed,1,15,rest,rest,left,0.008033,0.5,1,,0,0.90431,0.001607,0.02381,0,72.671276,12.471195,0.152539,0.0
G_s1_alpha_single_2026-08-19_1787129459,2026-08-19,G,,single,alpha,,speed,1,16,attention,rest,left,0.704613,0.617627,1,,0,0.846143,0.140923,0.97619,1,16.645021,2.800151,0.385505,0.0
G_s1_alpha_single_2026-08-19_1787129459,2026-08-19,G,,single,alpha,,speed,1,17,rest,rest,left,0.0,0.5,1,,0,0.911,0.0,0.0,0,4508.430371,63.389793,0.046311,0.0
G_s1_alpha_single_2026-08-19_1787129459,2026-08-19,G,,single,alpha,,speed,1,18,attention,rest,left,0.206929,0.512869,1,,0,0.884385,0.041386,0.410256,1,46.546435,7.730837,0.150059,0.0
G_s1_alpha_single_2026-08-19_1787129459,2026-08-19,G,,single,alpha,,speed,1,19,rest,rest,left,0.017237,0.502368,1,,0,0.907575,0.003447,0.025,0,457.385026,54.949349,0.072211,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,0,attention,rest,left,0.366722,0.54205,1,,0,0.874634,0.073344,0.682927,1,35.086399,10.923363,0.385108,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,1,rest,rest,left,0.0,0.5,1,,0,0.864951,0.0,0.0,0,2136.222241,18.601159,0.110888,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,2,attention,rest,left,0.068244,0.5,1,,0,0.889725,0.013649,0.175,1,28.671914,10.470993,0.252118,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,3,rest,rest,left,0.0,0.5,1,,0,0.829051,0.0,0.0,0,21448.989168,36.061898,0.061827,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,4,attention,rest,left,0.066063,0.500439,1,,0,0.814487,0.013213,0.205128,1,45.029253,9.187718,0.199841,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,5,rest,rest,left,0.01194,0.5,1,,0,0.874619,0.002388,0.047619,0,68.950961,15.78403,0.198615,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,6,attention,rest,left,0.062728,0.50014,1,,0,0.801595,0.012546,0.166667,1,41.870068,7.992912,0.211042,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,7,rest,rest,left,0.015049,0.5,1,,0,0.84825,0.00301,0.05,0,265.104592,22.624333,0.10279,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,8,attention,rest,left,0.022041,0.5,1,,0,0.866675,0.004408,0.1,1,43.095227,7.28694,0.182706,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,9,rest,rest,left,0.020725,0.5,1,,0,0.809756,0.004145,0.073171,0,9414.640471,50.255965,0.067638,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,10,attention,rest,left,0.082327,0.506496,1,,0,0.856366,0.016465,0.195122,1,432.467048,9.203761,0.243168,0.0
