trial_idx,a_state,b_state,b_direction,trial_start_ts,trial_end_ts,row_ts,frame_ts,cmd_vel_ts,source,role,alpha,theta,beta,tbr,ei,speed_intent,steer_intent,steer_direction,cmd_lin,cmd_ang,is_blink,latency_ms
28,rest,attention,left,1786956037.715078,1786956058.082048,1786956037.715078,1786956037.714004,1786956037.714075,lsl_raw,steering,76.104244,730.187335,20.067627,36.386331,0.024889,0.0,0.5,1,0.0,0.0,0,1.003
28,rest,attention,left,1786956037.715078,1786956058.082048,1786956038.214881,1786956038.213903,1786956038.213973,lsl_raw,steering,48.45437,166.352148,18.843375,8.82815,0.087723,0.008288,0.5,1,0.0,0.0,0,0.909
28,rest,attention,left,1786956037.715078,1786956058.082048,1786956038.71398,1786956038.713037,1786956038.713094,lsl_raw,steering,83.053768,250.898046,47.598512,5.271132,0.142531,0.0,0.5,1,0.0,0.0,0,0.885
28,rest,attention,left,1786956037.715078,1786956058.082048,1786956039.214201,1786956039.213213,1786956039.213296,lsl_raw,steering,28.518079,70.068734,57.835934,1.211509,0.58665,0.065519,0.5,1,0.0,0.0,0,0.905
28,rest,attention,left,1786956037.715078,1786956058.082048,1786956039.664582,1786956039.663698,1786956039.663762,lsl_raw,steering,81.039323,199.131221,25.341684,7.857853,0.090451,0.0,0.5,1,0.0,0.0,0,0.82
28,rest,attention,left,1786956037.715078,1786956058.082048,1786956040.164465,1786956040.163633,1786956040.163699,lsl_raw,steering,94.79765,617.608322,25.749084,23.985643,0.036144,0.0,0.5,1,0.0,0.0,0,0.766
28,rest,attention,left,1786956037.715078,1786956058.082048,1786956040.665916,1786956040.664007,1786956040.664892,lsl_raw,steering,145.041334,311.875219,42.136899,7.401475,0.09222,0.0,0.5,1,0.0,0.0,0,1.024
28,rest,attention,left,1786956037.715078,1786956058.082048,1786956041.164899,1786956041.16389,1786956041.16396,lsl_raw,steering,27.223972,92.654937,27.974186,3.312158,0.233354,0.0,0.5,1,0.0,0.0,0,0.94
28,rest,attention,left,1786956037.715078,1786956058.082048,1786956041.664557,1786956041.663089,1786956041.663791,lsl_raw,steering,122.902616,353.553166,33.462615,10.565617,0.070232,0.0,0.5,1,0.0,0.0,0,0.766
28,rest,attention,left,1786956037.715078,1786956058.082048,1786956042.163579,1786956042.162232,1786956042.163131,lsl_raw,steering,186.105427,1956.859194,23.345886,3.312158,0.233354,0.0,0.5,-1,0.0,0.0,1,0.449
28,rest,attention,left,1786956037.715078,1786956058.082048,1786956042.664207,1786956042.663411,1786956042.663451,lsl_raw,steering,878.360976,15415.758758,88.105297,3.312158,0.233354,0.0,0.5,-1,0.0,0.0,0,0.756
28,rest,attention,left,1786956037.715078,1786956058.082048,1786956043.165473,1786956043.164334,1786956043.164382,lsl_raw,steering,20.240653,305.575427,27.76574,3.312158,0.233354,0.0,0.5,-1,0.0,0.0,0,1.091
28,rest,attention,left,1786956037.715078,1786956058.082048,1786956043.615155,1786956043.613844,1786956043.613891,lsl_raw,steering,136.285047,307.367498,22.290825,13.788969,0.050244,0.0,0.5,-1,0.0,0.0,0,1.264
28,rest,attention,left,1786956037.715078,1786956058.082048,1786956044.115369,1786956044.114126,1786956044.114198,lsl_raw,steering,53.451528,93.5313,44.208342,2.115693,0.300772,0.0,0.5,-1,0.0,0.0,0,1.17
28,rest,attention,left,1786956037.715078,1786956058.082048,1786956044.614836,1786956044.61325,1786956044.61395,lsl_raw,steering,134.488795,353.583844,33.747446,10.477351,0.069144,0.0,0.5,-1,0.0,0.0,0,0.887
28,rest,attention,left,1786956037.715078,1786956058.082048,1786956045.115529,1786956045.114523,1786956045.114592,lsl_raw,steering,43.500787,52.394433,23.103933,2.267771,0.240929,0.067889,0.5,-1,0.0,0.0,0,0.937
28,rest,attention,left,1786956037.715078,1786956058.082048,1786956045.565477,1786956045.56358,1786956045.564374,lsl_raw,steering,138.876471,475.494963,73.27513,6.489173,0.119268,0.067889,0.5,-1,0.0,0.0,0,1.103
