session_id,run,channel,n_attention,n_rest,hit_rate,fa_rate,d_prime,auc,mean_score_attention,mean_score_rest,mean_latency_attention,mean_latency_rest,dir_hit_rate,dir_fa_rate
W_s13_tbr_single_2026-08-18_1787071143,1,steering,10,10,1.0,1.0,0.0,0.98,0.644536,0.552269,0.79004,0.809942,0.875,0.0
W_s14_ei_single_2026-08-18_1787072036,1,steering,10,10,1.0,0.9,3.471873,0.69,0.587332,0.547806,0.806301,0.818909,0.75,1.0
