run,trial_idx,phase,wall_ts,a_state,b_state,b_direction
1,0,prompt,1786963968.193651,rest,attention,left
1,1,prompt,1786963993.59848,rest,rest,right
1,2,prompt,1786964018.979856,rest,attention,right
1,3,prompt,1786964044.287713,rest,rest,left
1,4,prompt,1786964069.428861,rest,attention,left
1,5,prompt,1786964094.737432,rest,rest,right
1,6,prompt,1786964119.929766,rest,attention,right
1,7,prompt,1786964145.551542,rest,rest,left
1,8,prompt,1786964170.880195,rest,attention,left
1,9,prompt,1786964197.079116,rest,rest,right
1,10,prompt,1786964222.379319,rest,attention,right
1,11,prompt,1786964247.629153,rest,rest,left
1,12,prompt,1786964273.280697,rest,attention,left
1,13,prompt,1786964299.029767,rest,rest,right
1,14,prompt,1786964324.77915,rest,attention,right
1,15,prompt,1786964350.096101,rest,rest,left
1,16,prompt,1786964376.228328,rest,attention,left
1,17,prompt,1786964401.289884,rest,rest,right
1,18,prompt,1786964426.729937,rest,attention,right
1,19,prompt,1786964452.428952,rest,rest,left
