session_id,date,subject,subject_b,device_mode,metric,electrode,roles,run,trial_idx,a_state,b_state,b_direction,speed_intent,steer_intent,steer_direction,clean_switch,is_blink,latency_ms,mean_alpha,mean_tbr,mean_ei,blink_count
G_s1_alpha_single_2026-08-19_1787129459,2026-08-19,G,,single,alpha,,speed,1,12,attention,rest,left,0.38849,0.527859,1,,0,0.864881,35.201095,5.21145,0.340058,0.0
G_s1_alpha_single_2026-08-19_1787129459,2026-08-19,G,,single,alpha,,speed,1,13,rest,rest,left,0.0,0.5,1,,0,0.964282,169.79166,13.415128,0.113509,0.0
G_s1_alpha_single_2026-08-19_1787129459,2026-08-19,G,,single,alpha,,speed,1,14,attention,rest,left,0.608458,0.605217,1,,0,0.83241,20.394187,4.131835,0.400389,0.0
G_s1_alpha_single_2026-08-19_1787129459,2026-08-19,G,,single,alpha,,speed,1,15,rest,rest,left,0.008033,0.5,1,,0,0.90431,72.671276,12.471195,0.152539,0.0
G_s1_alpha_single_2026-08-19_1787129459,2026-08-19,G,,single,alpha,,speed,1,16,attention,rest,left,0.704613,0.617627,1,,0,0.846143,16.645021,2.800151,0.385505,0.0
G_s1_alpha_single_2026-08-19_1787129459,2026-08-19,G,,single,alpha,,speed,1,17,rest,rest,left,0.0,0.5,1,,0,0.911,4508.430371,63.389793,0.046311,0.0
G_s1_alpha_single_2026-08-19_1787129459,2026-08-19,G,,single,alpha,,speed,1,18,attention,rest,left,0.206929,0.512869,1,,0,0.884385,46.546435,7.730837,0.150059,0.0
G_s1_alpha_single_2026-08-19_1787129459,2026-08-19,G,,single,alpha,,speed,1,19,rest,rest,left,0.017237,0.502368,1,,0,0.907575,457.385026,54.949349,0.072211,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,0,attention,rest,left,0.366722,0.54205,1,,0,0.874634,35.086399,10.923363,0.385108,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,1,rest,rest,left,0.0,0.5,1,,0,0.864951,2136.222241,18.601159,0.110888,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,2,attention,rest,left,0.068244,0.5,1,,0,0.889725,28.671914,10.470993,0.252118,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,3,rest,rest,left,0.0,0.5,1,,0,0.829051,21448.989168,36.061898,0.061827,0.0
G_s2_tbr_single_2026-08-19_1787131088,2026-08-19,G,,single,tbr,,speed,1,4,attention,rest,left,0.066063,0.500439,1,,0,0.814487,45.029253,9.187718,0.199841,0.0
