run,trial_idx,phase,wall_ts,a_state,b_state,b_direction
1,0,prompt,1787042899.666197,rest,attention,left
1,1,prompt,1787042924.98923,rest,rest,right
1,2,prompt,1787042950.290193,rest,attention,right
1,3,prompt,1787042977.792035,rest,rest,left
1,4,prompt,1787043002.941394,rest,attention,left
1,5,prompt,1787043028.54096,rest,rest,right
1,6,prompt,1787043053.89109,rest,attention,right
1,7,prompt,1787043080.547767,rest,rest,left
1,8,prompt,1787043106.08651,rest,attention,left
1,9,prompt,1787043131.322932,rest,rest,right
1,10,prompt,1787043156.339605,rest,attention,right
1,11,prompt,1787043183.141106,rest,rest,left
1,12,prompt,1787043208.377689,rest,attention,left
1,13,prompt,1787043233.790691,rest,rest,right
1,14,prompt,1787043259.241941,rest,attention,right
1,15,prompt,1787043285.789363,rest,rest,left
1,16,prompt,1787043311.340343,rest,attention,left
1,17,prompt,1787043336.491169,rest,rest,right
1,18,prompt,1787043361.789505,rest,attention,right
1,19,prompt,1787043388.940944,rest,rest,left
