run,trial_idx,phase,wall_ts,a_state,b_state,b_direction
1,0,prompt,1787072039.357759,rest,attention,left
1,1,prompt,1787072064.416251,rest,rest,right
1,2,prompt,1787072089.818995,rest,attention,right
1,3,prompt,1787072115.366913,rest,rest,left
1,4,prompt,1787072140.43854,rest,attention,left
1,5,prompt,1787072165.976143,rest,rest,right
1,6,prompt,1787072191.215176,rest,attention,right
1,7,prompt,1787072216.818909,rest,rest,left
1,8,prompt,1787072242.152823,rest,attention,left
1,9,prompt,1787072267.53495,rest,rest,right
1,10,prompt,1787072292.716251,rest,attention,right
1,11,prompt,1787072318.116133,rest,rest,left
1,12,prompt,1787072343.617611,rest,attention,left
1,13,prompt,1787072369.215992,rest,rest,right
1,14,prompt,1787072394.765043,rest,attention,right
1,15,prompt,1787072419.86769,rest,rest,left
1,16,prompt,1787072445.674273,rest,attention,left
1,17,prompt,1787072471.17439,rest,rest,right
1,18,prompt,1787072496.365001,rest,attention,left
1,19,prompt,1787072521.415121,rest,rest,right
