run,trial_idx,phase,wall_ts,a_state,b_state,b_direction
1,0,prompt,1786986582.489421,attention,rest,left
1,1,prompt,1786986607.873032,rest,rest,left
1,2,prompt,1786986633.272589,attention,rest,left
1,3,prompt,1786986658.34924,rest,rest,left
1,4,prompt,1786986683.972364,attention,rest,left
1,5,prompt,1786986709.37292,rest,rest,left
1,6,prompt,1786986734.550293,attention,rest,left
1,7,prompt,1786986760.073313,rest,rest,left
1,8,prompt,1786986785.473258,attention,rest,left
1,9,prompt,1786986810.749525,rest,rest,left
1,10,prompt,1786986836.272091,attention,rest,left
1,11,prompt,1786986861.522308,rest,rest,left
1,12,prompt,1786986886.713243,attention,rest,left
1,13,prompt,1786986911.752455,rest,rest,left
1,14,prompt,1786986936.812821,attention,rest,left
1,15,prompt,1786986962.122608,rest,rest,left
1,16,prompt,1786986987.361368,attention,rest,left
1,17,prompt,1786987013.02174,rest,rest,left
1,18,prompt,1786987038.322889,attention,rest,left
1,19,prompt,1786987063.67285,rest,rest,left
