run,trial_idx,phase,wall_ts,a_state,b_state,b_direction
1,0,prompt,1787049722.911063,attention,rest,left
1,1,prompt,1787049748.009336,rest,rest,left
1,2,prompt,1787049773.490745,attention,rest,left
1,3,prompt,1787049798.990595,rest,rest,left
1,4,prompt,1787049824.113062,attention,rest,left
1,5,prompt,1787049849.540525,rest,rest,left
1,6,prompt,1787049875.096746,attention,rest,left
1,7,prompt,1787049900.325772,rest,rest,left
1,8,prompt,1787049925.63894,attention,rest,left
1,9,prompt,1787049950.641576,rest,rest,left
1,10,prompt,1787049976.02787,attention,rest,left
1,11,prompt,1787050001.519977,rest,rest,left
1,12,prompt,1787050026.736125,attention,rest,left
1,13,prompt,1787050051.840254,rest,rest,left
1,14,prompt,1787050077.289128,attention,rest,left
1,15,prompt,1787050102.341732,rest,rest,left
1,16,prompt,1787050127.843781,attention,rest,left
1,17,prompt,1787050152.890129,rest,rest,left
1,18,prompt,1787050178.098694,attention,rest,left
1,19,prompt,1787050203.49008,rest,rest,left
