run,trial_idx,phase,wall_ts,a_state,b_state,b_direction
1,0,prompt,1786981132.556895,rest,attention,left
1,1,prompt,1786981157.959073,rest,rest,right
1,2,prompt,1786981183.306909,rest,attention,right
1,3,prompt,1786981208.552952,rest,rest,left
1,4,prompt,1786981234.058686,rest,attention,left
1,5,prompt,1786981259.432516,rest,rest,right
1,6,prompt,1786981284.609874,rest,attention,right
1,7,prompt,1786981310.20917,rest,rest,left
1,8,prompt,1786981335.551998,rest,attention,left
1,9,prompt,1786981360.728771,rest,rest,right
1,10,prompt,1786981386.258139,rest,attention,right
1,11,prompt,1786981411.659007,rest,rest,left
1,12,prompt,1786981436.831153,rest,attention,left
1,13,prompt,1786981462.408033,rest,rest,right
1,14,prompt,1786981487.758346,rest,attention,right
1,15,prompt,1786981512.949872,rest,rest,left
1,16,prompt,1786981538.509414,rest,attention,left
1,17,prompt,1786981563.958345,rest,rest,right
1,18,prompt,1786981589.150077,rest,attention,right
1,19,prompt,1786981614.659679,rest,rest,left
