trial_idx,a_state,b_state,b_direction,trial_start_ts,trial_end_ts,row_ts,frame_ts,cmd_vel_ts,source,role,alpha,theta,beta,tbr,ei,speed_intent,steer_intent,steer_direction,cmd_lin,cmd_ang,is_blink,latency_ms
9,rest,rest,left,1787215910.046759,1787215930.463995,1787215910.046759,1787215910.045993,1787215910.046047,lsl_raw,speed,137.763365,707.340803,29.603852,23.893539,0.03503,0.0,0.5,1,0.0,0.0,0,0.712
9,rest,rest,left,1787215910.046759,1787215930.463995,1787215910.495227,1787215910.494155,1787215910.494198,lsl_raw,speed,47.982215,105.721719,17.172611,6.156415,0.111725,0.0,0.5,1,0.0,0.0,0,1.03
9,rest,rest,left,1787215910.046759,1787215930.463995,1787215910.996299,1787215910.995561,1787215910.995607,lsl_raw,speed,26.447417,81.647403,11.05169,7.387775,0.102241,0.0,0.5,1,0.0,0.0,0,0.691
9,rest,rest,left,1787215910.046759,1787215930.463995,1787215911.496804,1787215911.495886,1787215911.495934,lsl_raw,speed,84.437919,37.034622,14.560139,2.543562,0.119864,0.0,0.5,1,0.0,0.0,0,0.871
9,rest,rest,left,1787215910.046759,1787215930.463995,1787215911.947007,1787215911.945888,1787215911.945934,lsl_raw,speed,35.901734,29.655067,15.30015,1.938221,0.233388,0.0,0.5,1,0.0,0.0,0,1.073
9,rest,rest,left,1787215910.046759,1787215930.463995,1787215912.39671,1787215912.395787,1787215912.395829,lsl_raw,speed,26.439128,18.160284,10.978381,1.654186,0.246155,0.0,0.5,1,0.0,0.0,0,0.881
9,rest,rest,left,1787215910.046759,1787215930.463995,1787215912.895872,1787215912.895071,1787215912.895115,lsl_raw,speed,19.791754,27.577535,15.356686,1.7958,0.324191,0.0,0.5,1,0.0,0.0,0,0.757
9,rest,rest,left,1787215910.046759,1787215930.463995,1787215913.393119,1787215913.392528,1787215913.392561,lsl_raw,speed,40.757883,57.541085,12.515395,4.597624,0.12732,0.0,0.5,1,0.0,0.0,0,0.558
9,rest,rest,left,1787215910.046759,1787215930.463995,1787215913.89313,1787215913.892593,1787215913.892625,lsl_raw,speed,35.824063,53.731362,11.870699,4.526386,0.132551,0.0,0.5,1,0.0,0.0,0,0.505
9,rest,rest,left,1787215910.046759,1787215930.463995,1787215914.346774,1787215914.345896,1787215914.345937,lsl_raw,speed,22.860038,97.125711,16.014385,6.064904,0.133469,0.0,0.5,1,0.0,0.0,0,0.836
9,rest,rest,left,1787215910.046759,1787215930.463995,1787215914.794193,1787215914.793521,1787215914.793558,lsl_raw,speed,69.685301,317.236979,17.90739,17.715423,0.046282,0.0,0.5,1,0.0,0.0,0,0.635
9,rest,rest,left,1787215910.046759,1787215930.463995,1787215915.296596,1787215915.295763,1787215915.295813,lsl_raw,speed,98.109009,419.467602,16.458183,25.486872,0.031799,0.0,0.5,1,0.0,0.0,0,0.783
9,rest,rest,left,1787215910.046759,1787215930.463995,1787215915.745978,1787215915.745029,1787215915.745072,lsl_raw,speed,26.650032,84.216672,15.844452,5.315215,0.142914,0.0,0.5,1,0.0,0.0,0,0.906
9,rest,rest,left,1787215910.046759,1787215930.463995,1787215916.196624,1787215916.195735,1787215916.195792,lsl_raw,speed,58.88229,34.221978,11.678733,2.930282,0.125437,0.0,0.5,1,0.0,0.0,0,0.831
9,rest,rest,left,1787215910.046759,1787215930.463995,1787215916.698283,1787215916.697541,1787215916.697589,lsl_raw,speed,57.632055,198.087806,15.705895,12.612322,0.061418,0.0,0.5,1,0.0,0.0,0,0.695
