run,trial_idx,phase,wall_ts,a_state,b_state,b_direction
1,0,prompt,1786983345.819429,attention,rest,left
1,1,prompt,1786983371.011788,rest,rest,left
1,2,prompt,1786983396.995071,attention,rest,left
1,3,prompt,1786983422.443329,rest,rest,left
1,4,prompt,1786983447.793348,attention,rest,left
1,5,prompt,1786983472.949899,rest,rest,left
1,6,prompt,1786983498.495118,attention,rest,left
1,7,prompt,1786983523.919753,rest,rest,left
1,8,prompt,1786983549.080083,attention,rest,left
1,9,prompt,1786983574.123828,rest,rest,left
1,10,prompt,1786983599.270801,attention,rest,left
1,11,prompt,1786983624.440601,rest,rest,left
1,12,prompt,1786983649.602079,attention,rest,left
1,13,prompt,1786983675.143491,rest,rest,left
1,14,prompt,1786983700.443632,attention,rest,left
1,15,prompt,1786983725.724496,rest,rest,left
1,16,prompt,1786983751.248339,attention,rest,left
1,17,prompt,1786983776.552053,rest,rest,left
1,18,prompt,1786983801.732537,attention,rest,left
1,19,prompt,1786983826.76033,rest,rest,left
